,count,unique,top,freq
Artist,20718,2079,SICK LEGEND,10
Url_spotify,20718,2079,https://open.spotify.com/artist/3EYY5FwDkHEYLw5V86SAtl,10
Track,20718,17841,El Ultimo Adiós - Varios Artistas Version,24
Album,20718,11937,Greatest Hits,30
Album_type,20718,3,album,14926
Uri,20718,18862,spotify:track:0tzixmHNQfE6S6SirSToxW,24
Url_youtube,20248,18154,https://www.youtube.com/watch?v=GqOvxbFLwjY,18
Title,20248,18146,Color Esperanza 2020 - Various Artists (Official Video),18
Channel,20248,6714,T-Series,238
Description,19842,17394, ,114
Licensed,20248,2,True,14140
official_video,20248,2,True,15723
