,count,mean,std,min,25%,50%,75%,max
Unnamed: 0,20718.0,10358.5,5980.91577436098,0.0,5179.25,10358.5,15537.75,20717.0
Danceability,20716.0,0.6197774522108515,0.16527238893983814,0.0,0.518,0.637,0.74025,0.975
Energy,20716.0,0.6352503492131686,0.21414683000068707,2.03e-05,0.507,0.666,0.798,1.0
Key,20716.0,5.300347557443522,3.5764485443081413,0.0,2.0,5.0,8.0,11.0
Loudness,20716.0,-7.671680343695694,4.632748577001423,-46.251,-8.858,-6.536,-4.931,0.92
Speechiness,20716.0,0.09645600502027418,0.1119600283321935,0.0,0.0357,0.0505,0.103,0.964
Acousticness,20716.0,0.2915353498271867,0.2862988163849693,1.11e-06,0.0452,0.193,0.47724999999999995,0.996
Instrumentalness,20716.0,0.05596155771432709,0.19326203308369472,0.0,0.0,2.405e-06,0.000463,1.0
Liveness,20716.0,0.1935209982622128,0.16853090141034588,0.0145,0.0941,0.125,0.237,1.0
Valence,20716.0,0.5298533240007725,0.2454408088266606,0.0,0.339,0.537,0.72625,0.993
Tempo,20716.0,120.63833993048851,29.57901754785179,0.0,97.002,119.965,139.935,243.372
Duration_ms,20716.0,224717.57902104652,124790.5426099816,30985.0,180009.5,213284.5,252443.0,4676058.0
Views,20248.0,93937821.13329712,274644322.0046215,0.0,1826001.5,14501095.0,70399749.0,8079649362.0
Likes,20177.0,663341.0613074292,1789324.2482217257,0.0,21581.0,124481.0,522148.0,50788652.0
Comments,20149.0,27518.993696957667,193234.68935062183,0.0,509.0,3277.0,14360.0,16083138.0
Stream,20142.0,135942190.38298082,244132077.82384762,6574.0,17674864.25,49682981.5,138358065.25,3386520288.0
